username,comments
arobaaya,Kepentingan lagi
robbenho10,Liga 2 semakin seru
winowamea_,😂😂😂
___zudokato,"Kira2 de ada buat apa di R4 sana sampe kam bela de stengah mati bgini.? Kam lupa kah beberapa tahun lalu org2 di R4 sana di PHK sampe brp banyak orang itu hahahah.. kam lihat R4 itu, de pu kemajuan su sampe dimna hahahah…."
mrs.slss,Syahril Wainsaf kah siapa ni ? Siapa punya ko ini
_tuannmudaaaaaaaa,@tiaraaawatory.__________ @autinaaaaaaaaa_melles bapak elisa sja ahh🔥🙌
thomze1,"Kadang, kawin campur-mencampur adalah tindakan pelecehan terhadap ras asli; kata adolf hitler"
pce_sufu48,😂😂😂😂 stop mengakui jd orng maya sdh nnti mati Tuhan tolak lg 🤣🤣
sihu.bleskadit_,"Kamu dpt bayar berapa buat dukung dia, bikin malu eeh😂😂😂"
yusriiiii__,Bukan apa tpi uang m suda hangus🤣
juli_wonda,"Yuh... Bisa terima saja kah,, bukan OAP baru kam Paksa kas jd OAP,, lucu skli.,,,"
msqiper,"Biarkan mereka berekspresi, mengutarakan apa yg mereka rasakan. Tidak usah mau provokasi, kalau benci satu paslon tdk usah mau panggil orang lagi untuk benci lagi. Kalau ada kam pu pilihan, sudah itu kam pu pilihan, jang provokasi lagi."
marlon.antoh,"Bicara apa ini ?😂😂Orang kalau butuh pengakuan dr LMA tu artinya apa ???Coba ko jawab(………………)Manusia nasi bungkus semua, AFU bukan anak Asli Papua titik."
muhamadisro,@joishbmsaja  suuiiiiiiii😂
n_kmbya,Yang Kam ngotot apa inii😂
wabdaron_jbois_48f,"Hal biasa bukan piring adat yg kitong pakai jadi,, kasih pecah saja.. Nnti bru tong kasih kam uang pi beli piring di pasar remu 🤣🤣"
bintangnaga27,Saya Dukung kalo itu Tujuannya baik dan Bermanfaat ✊
geor.gekorwa,"Tidak usah bicara banyak, buka UU Otsus dan baca disitu dengan jelas pasti kalian akan mengerti yang berhak hanya asli keturunan OAP!! Bukan yang akui atau di angkat"
btricesd_0,"Ini bikin apa khaa ?,,, orang panggil leluhur tanah tuu Jang sembarang begini,berdiri pake pakaian adat bicara pake bahasa bikin adat Bru leluhur de tau klu ada yg panggil..stop bikin kacok sdh"
bilyhembring,"😆😅 dapa tipu deng gula gula langsung bicara macam su paling betul, suee kab raja ampat sana trada kemajuan apa apa mo naik ke provinsi lagi mo bikin apa ? 😆"
boomvid023,Masa Kam org Papua mo akui org luar lagi tuh😂
geno_thesia,Kebiasaan angkt orang lain jadi anak suku... Itu yang nanti kamu habis di tanah sendiri !!!
marcelwomsiwor,"Ko banting piring ahh🤣  tong beli piring baru, tenang saja🤣"
biaktimur16,@adrianodmr_  ko lht tee ade dia🤣
medy_shrn,Kam bikin apa nih🤣🤣🤣
ian_est18,OAP tapi masa minta rekomendasi dri LMA ??? Mau tes CPNS kpa 🤣
brian_siahaan,"Orang raja 4 yang lain tra akui, yang lain akui.Jadi bagemana ?"
abangnila46,"Ko kira in raja ampat jd mo jln bikin diri untk dia akui... Sudah jelas"" Msih mo paksa in tanah Moi Bukan Raja Ampat ya😂"
rindulambi_,enak ny kerja smping kntor walikota tdk prnh ketinggalan brta terbaru😍
febbryant17____,kam bertindak barang apa ini ?ada bantu sumbang” pikirn untk pemekrn Provinsi ini kh tertwa kam sja sudh 🤣🤣
vanca_karth,Terlalu paksa kehendak juga mo😒
raja_ampatparadise,Mantap Afu gagal dan arti nya memang benar dia bukan  orang asli ppaua😂
reinhard_raweyai,Arus tenang. Siapkan diri 5 tahun lagi.. maju Gubernur Maluku Utara saja kalau tdk lolos verifikasi OAP 😀
aprilio_mmbrsr,"PKPU dengan UU Otsus tuh Mana Yang Lebih tinggi ??? Dari situ saja Ko tidak Paham , Jangan Goblok baru Bicara Banyak.. kenapa Kam tra kasih masuk putusan MK nomor 29 th 2011 dalam revisi UU Otsus ??? Baru Kam cuma kasih masuk dalam surat edaran KPU ? tau kha tdk kalo pesta demokrasi di tanah Papua ini barang tuh bukan jalan dengan UU pemiLuKada saja tapi Harmonisasi dengan UU Otsus, stop ribut baru tau malu sudah , SUKU MOI su bikin statement yang TDK akui kamu tuh.. MALU BOLEH😂"
apet30,Awas piring bale makan kam sendiri lagi 🤣😂
joesalvatrick,Intinya umlati bukan dari Papua touh .. Papua menganut sistem patrineal jadi otomatis marga dari orang tua laki-laki bukan perempuan ... Harus Legowo dong ... Lagian kalo asli kenapa harus sibuk cari pengakuan kiri kanan ...
sharon.serafimbosawer,"Yg jd pertanyaan Knp kemarin MRP turun di dusun/kampung yg di akui sebagai asal masing2 paslon untuk verifikasi kam tra sambut MRP BRu bcra, perasaan MRP ni memutuskan karna sdh survey langsng😰 bkn MRP baca komen2 di SOSMED saja BRu langsng ketok palu🤧"
crisszx.rumbiakmmbr,Bapa panggil nene moyang yg datang bicara boleh 😂 banting piring supaya orng percaya kam pu omong kosong ni bikin sorong hujan truss
nejo267,Hak memyampaikan pendapat dimuka umum dijamin oleh undang-undang tetapi kalau tidak memilki surat ijin demo tolong aparat keamanan tindak tegas para pendemo ini.
mf.erich,"Su jual hak kesulungan di Raja Ampat ke dia jadi STOP bawa² nama Negeri ini,  Cukup Raja Ampat saja yang de  bikin akan 10 tahun ini  trada perkembangan, Jang Kam bawa dia di Papua Barat Daya lg.😅"
atta_west,Ko pergi banting piring di Raja 4 sna atas nma adat apa ko stop bwa nma adat nnt adat bale makan ko
ondowaimbo_11,"MRPPB terbaik 🔥 lembaga yang melindungi adat, ras dan kultur orang papua asli akhirnya bisa buat keputusan yang yah tidak bisa mengakomodir semua kepentingan. Jalan saja sesuai aturan, meskipun aturan yang kita buat memang bukan untuk menyenangkan semua pihak... salam sehat MRPBD Tuhan Yesus Berkati jajaran MRPBD. Amin 🙏🏻😇"
sean_navan,Ngotot barang apa ehk 😂
meysaba24,Stop pake tong pu tete Ishak kijne pu kata2 sdh o.
nvlnd_nauw,"ahahaha cari uang susah jdi, lht orang tipu dg uang langsung tergiur to, MRP sdh berjuang untuk Hak orng Papua bru yg ini bikin sibuk diri lagi, itu yg nanti kamu akan dapat tindas trus tu karena jual harga diri untuk orang lain datang ambil dan menjadi pemimpin atas kamu🥲🥲"
meysaba24,Ingat lagi ..
meysaba24,"Yg disebut oap itu mama pu BPK oap bukan Nene, dn bapak pu bapak bukan mama."
echat_r_k_jitmau,😂😂😂 orang2 yg jual harga diri untuk gula 1 kilo sama radio RRI
yonas_rejauw,Sioo Kam demo bupati yang nikmati buah tangan Bpk almarhum markus wamna  itu buat apa orang tolak di pantas sekali 🙌😂
othaway_kambu,Terlalu Ngotott barang apa in??? Sadar Diri dan Tau diri  asal usul sebenarnya..!!!😅🥱
emspdy,Miris Hak kesulungan diperjual belikan
soqspace_,Aehhh piring tuh di pasar remu banyak ohh 😢 BUKAN OAP BARU PAKSA SAMPE !!
travisrio93,Kasih kesempatan org Papua asli yg memimpin tanah ini... Kam rakus uang kekuasaan Deng jabatan sampe Kam mho makan hbis semua ee... Su dpat kesempatan punya jabatan tu cukup sdh.. mati jilat sampe bersih ee 🗿🗿🗿
jois8411,Afu tu bukan org asli raja ampat . De itu org ternate.
rip4_skrt,Ternate ada lahan kosong tu pergi maju sana bikin kotor tanah Papua sj 😂
ellasintikhe26,Pulang baru jdi kepala kampung di Ternate sana k bgmna k
reynaldyno0b,"Habis Kas picah piring tuh, tau kas bersih boleh oh🤣"
susankalami12,😂😂
episagrim299,"Orang urus provinsi ini waktu itu kamu tdk serahkan Rekomendasi daerah bawahan.. baru Skrng mau datang menikmati… itu cerita dri mana..? TAU DIRI, KENAL DIRI DAN SADAR DIRI SAJA….. jangan ngotot paham"
guntamanuputty,Arus 🔥
erwinfun,"Biar dy ikut asal jgn sampe menang sj ooo, soalx klo sampe kyk d r4 sana o bagerak sedikit org tgl sebut pace nama trs mw masuk apa” harus lewat pace pu kolega” dl yg atur"
rachelhllry,🤣🤣🤣🤣
henrywattimury21,🤣
mas4len,Oh mantap sudah sorong sudah tidak banjir lagi karna pc dia su banting piring 🤣🤣🤣
noval_kareth_11,Jangan terlalu ambisi maju kalau ko bukan oap nanti ko bikin kecewa ko pu om- om raja ampat donk Yang sudah jadi team kerja politik untuk koko kira ini ko maju bupati di ko mama tempat jadi ko lolos maju saja
andre22376,"Miris skli lht oknum2 org Papua yg orasi bkn malu kyk gni, kam kyk dpt byr membela org yg kerja 0 besar ni, kam menghianati kam moral demi uang, kalian memalukan. Bukti jejak digital ini akan di lihat klian pny generasi2 penerus dimana klian memperjuangkan hal yg salah. Klian Sdh lht raja Ampat sm skli tdk ad pembangunan klian masih ngotot buat dia maju lg jd gubernur, PUNYA OTAK TIDAK SIH KALIAN? Atau otak Sdh di butakan uang, kt org Papua bnyk yg ssh knp klian ngotot org yg jls2 tdk bisa membangun ini untk jd 01 PBD?"
dihannnntaesa,🤣🤣
isir.lanox,Ini Orang² mana lgi ini Bikin Kotor provinsi ini saja.
max_mpllx,Provinsi ini hadir bukan jln sendiri datang ada org yg berjuang jdi klo sdh nolll jng datang bikin hakk tunggu yg berjuang menikmati dolo nti 10/15 tahun ke depan sna bru kam bawa akan sdh PROVINSI INI PROVINSI HARGA DIRI OKE. 🔥🔥
karell_aka,"Baa coba yg dtng demo nihh orang Papua k, macam orang dari luar Papua yg dtng demo k🤣"
_tqquilla,Ihh klo mmng sdh tdk di akui yah sdh trima saja to. Jie Kam berjuang smpe de bayar Kam brpa jd Kam bkn stngah mati diri.. sstt diam plng cuci piring ibu² urus RT bpk² plng cari mkn nafkahi anak istri sbb nnti afu ddk blm tentu mau lihat BPK ibu dong🥴🤣
olanajadehhh,Kabupaten raja Ampat sj de trabikin apapa bru hal yg km paksa kehendak ni apa🤣tipu deng beli pinang bru bikin tim prgi demo nnt pulang bru muka kering di Lautttt
gokkusag39__,Terlalu paksa kehendak sekali🤣
pvtriciaaa__,Sio piring tu 🤣
richkourbinas_,piring makan tu sioo😅
this.is.blvck,Bahhh🤣
iinarmdn_,Kasian trpp tpi piring tu🤣
awakwabdaron026,🤣🤣🤣
w.i.l.i_isir,Ih suka ongtot baguss tapi malu kh😅
airalestarii,Manusia2 bayaran... Tra punya  maluu..
djitmau_16,Banting sampe piring habis di pasar jga de bukan OAP.
pstryxx__,Bukan apa tapiii tau diri penting drpada pikul malu🥲
meilanmambrisauw,"STOP Bikin malu sudah, R4 10 tahun trada apa2 yg tong lht,Jang bkn papua barat daya tak berdaya."
maonsaja,Ada bantu berjuang provinsi ini jadi?????
anggreiniii._,Mati jadi gubernur sampe sp te
marlon.antoh,Perankan acara adat namun disitu sikap dan tekstur berbanding terbalik 😂😂😂Manusia apaan woii
edo_pizz,Sipaling bikin raja ampat bagus 🤣🤣🤣🤣🤣
emon01728,Kmu kira ini pulau raja4 k udik..ini tanah moi  afu trd dara Papua baca Otsus itu biar jgn banting piring takaruang
mithcell_10,Rusak 🤣🙌
fritsmnx,Ohh kasihan ternyata 1 kepala 300rb jd rame bgini eee😂😂
mancess_11,okeud naspad
n__bonar,Tau beli piring jdi
andyasss_,"Kaka perem di slide ke-2 tra salah klo mau berorasi, yg salah itu sudah tidak paham baru paksa orasi. Pertimbangan persetujuan yg di lakukan MRPPBD murni berdasarkan hasil verfak dan bukti autentik. Papua ni tanah adat, trabisa kas orng yg tra tau adat yg pimpin🙏🏾"
fitsal__,Demo smpe cape besok akut stell Papua barat daya 🐍😛
tuanganaa,😂😂😂😂
iccnafff_,"Maksudnya kamu orang Papua ini pake sistem matrilineal k ? Kamu itu patrilineal jdi stop kampung k. Kasihan,klo memang bukan Papua ya sda jgn paksa dan halalkan segala cara. Satu lgi , simpan piring tu pake Minang kam pu anak cucu yg btul” darah papua asli atau r4 asli yg besok kawin sana jgn makn puji banting di tanah yg bukan kam pu tmpt !!!! Bikmal eeee"
niar_shizha,😂😂
yunita_mandobar09,Orang moi dan orang papua yang lain harap bijak untuk memilih pemimpin😍❤️ pilihan kam saat ini menetukan nasib papua kedepan 💐
israael_xx,MIRIS DENGAN OAP SEMUA DAN KEPENTINGAN-KEPENTINGAN POLITIK DI DALAMNYA...INGAT PERKATAAN BAPAK KIJNE...TUHAN ALLAH LIHAT HATI JADI
israael_xx,DARI HAL INI KITA BELAJAR BAHWA....STOP ANGKAT PEJABAT NON OAP SEBAGAI ANAK ADAT....
spoilernonton,"Orng ini tdk pikir generasi Papua ke depan k? Tong lihat dulu tu dong ini dtng ke Papua ni hanya buka usaha sekarang dong su terlibat dalam Birokrasi bahkan su maju dalam pemilihan kepala daerah dan bahkan jdi kepala daerah. Coba tong sebagai OAP ni pikir, kita ni sdikit sx dalam republik ini. Kam mau jdi penonton diatas negeri ini? Sadar Sdh jang pikir kepentingan pribadi pikir anak cucu ke depan."
isal_2223,"baru kira2 mau pilih yg mana 🤣 baca komen ada yg blng AFU tidak bagus jd bupati raja ampat, bernard sagrim juga kurang bagus karna pernah korupsi 🤣 gabriel asem juga kurang bagus 🤣 mending golput saja sudab mo 🤣"
beatrice_skrt99,Afu itu kemarin ada berjuang Provinsi ini lgi k Kutukkk eee..Pergi maju di km pu tempat snaa siapa pu orang ni Bkn kotor Papua sja
rthbrigadt,Tanah Moi Tanah Maladum 😤🙌🔥
bigmountain9737,"cukupkan diri dgn apa yg ada jang terlalu rakus, kam bukan OAP,  cermikan dirimu di kaca itu  lalu tanyakan pada cermin itu, siapa diri saya, saya dari/asal mana,  moyang orang mana, suku saya apa, sa yakin pasti ko pu sombar cermin itu akan menjawab bahwa, anda tu tdk tau malu krna anda sdh merampas hak-hak dasar OAP."
itsicaa__23,"org” sp yg berkoar-koar in?? Dulu ad dtg berjuang prov in jdi atau mungkin kira prov in lahir sendiri kp e?!, Kita ortu yg pejuang dan sekaligus korban sj blm dpt ap” dri provinsi in tratau k klo org perjuangkan provinsi in sdh 17tahun bru akn hadir. Terlalu bnyk manusia penikmat yg lupa diri‼️😂"
dannykareth,🤣🤣🤣🤣
nauw_meske,Jgn jadi PENIKMAT.!!! Di raja 4 sana msh belum Kenyang kah jadi Ngotot ke provinsi lagii
riodejaneyro1212,Doa sulung hanya berlaku untuk orang papua
akut_paniai,"Suku Maya bukanya dari Amerika tengah, kok bisa kesasar sampail di Papua, Kam bicara ada tu piring tu pake adat mass kawin bukan banting2, piring habis baru Kam PU anak2 perempuan disana biar orang kawin gratis semua sdh😁,"
yuliansesa,Pilih gubernur yg rekam jejak jelas.. beraraati km su tau orang yg harus kamu pilih..🔥🔥
ima.msp,Bicara sja su tra taw tujuan kemana baru mo banting2 piring !
pcayau_,Km sendiri yg orang Raja Ampat sdh 🥴
geoppanauw,"Sibuk dengan pemerintah , sibuk dengan politik yg gagal total dan tdk bertanggung jawab ini untuk apa , km yg ngotot DOB too km"" tanggung jawab orang asli Papua ke dpn sampe seterusnya Jang sampe demi kepentingan Bru setelah itu lari dari tanggung jawab !!!"
owalincah,NEH JANG TALALU SERAKAH DIATAS INI NANTI TANAH INI BALIK MAKAN KAMU LAPIS 7 TURUNAN.
echat_r_k_jitmau,Orang2 ini dl perna ada berjuang provinsi ini hadir k tdak ee.. jual harga diri memang bikin malu banting piring mkn thu bru ke pasar remu beli lapis ember2 LG
daron_hiariej,"Bha kam tramalu k,ini tanah moi kam lucu skali/gila kekuasaan skali afu"
cal_abi16,"Intinya keputusan sdh keluar, dan fix afu tra diakui jd stop sdh"
ran_zulfikkry,Sa su blng apa dia tetap akan lolos😆bgaimana tdk mau lolos bnyak cuan + janji manfaat yg de kasih moohhh🤣🤣🤣
mndngan_jr28,"Raja Ampat ada Begitu² saja jadi,,, Jangan Kam trllu membela orang Yang Tdk Tau adat. sebab de punya negeri sendiri saja De tdk urus, baru de mau urus provinsi besar ini😂😂😂 🔥🔥🔥"
sweeticetea.18,"jang bikin kotor aspal sorong deng kam pu piring hadiah sabun tu, lbih piring tu kam pake akan buat timba makan grtis dri Pa Wowo, & mas gib🤣🤣"
mira_wally,Orang adat itu tra tau kasi pica piring udik eeee....!!!
joe_bramcof,Kadang kadang dong bukan OAP tapi sangat menginginkan jabatan orang Papua ..ambe ambe SE wa wa wa
landy_saint,"Stop2 sudah, tdk lihat rekam jejaknya kh. Sdh 2 periode tp tdk ad hasil apa2"
ito_chilco,Mengsedih 😂😂🤣
karaka_gepe,"afu PU bapa Deng mama ni nama siapa, marga apa??"
jokoirwin,JANGAN MEMAKSAKAN DIRI KA.. 10 TAHUN R4 TIDAK BERKEMBANG
balsultor,"Saya orang Raja Ampat, setuju dengan keputusan OAP🔥🔥🔥🔥🔥"
dessy080787,"Ini tanah MOI BPK, ini bukan tanah R4 😁"
itsmerachl22,Pace pu tim sukses yg trun bikkn aksi inj😂
pengendali_hujan69,"Kam tra sadar ee kam bangga dengan keputusan ini tapi tra lihat dampak dari keputusan ini kedepan!! Kedepan kamu (perempuan papua) yg kawin deng laki"" Amber kam pu anak cucu semua Amber!! Bukan tong rakus jatah oap tapi kalo tong ada darah papua dan lahir besar di tanah ini juga kenapa tong tra bisa di akui sebagai oap padahal tong bangga sekali dengan pengakuan itu saat tong pergi keluar sekolah dong tanya tong bangga dengan itu tpi dengan keputusan ini tong di tanah sendiri saja tong di sangkall"
dmr_2770,Jangh buat seolah satu Raja ampat Bersuara untuk kam pu Paslon
p_y_m_d,"Bahhh mati jadi orang Papua skli , sampe bayar orang² yg SDM rendah ini untk demo 🤦 kam dapat bayar brpa nih??🤣😁"
hendra_wd85,🤣🤣🤣🤣🤣🤣🤣
hernuskein,Awas pecahan piring itu kasih putus kamu punya leher lagi
qaylarsyntaa,@fikriumlati
fredinand_vicky,Baaaaaah 🤣🤣🤣🤣🤣
_duwit4yrbb_,"Baku tipu semua,GOLPUT saja🔥"
fikriumlati,jangan diam lawan!!
lovrakgunung,"Kalo pake hak kesulungan, semua pendatang boleh dong jadi gubernur dan pns dong. Lagian raja ampat 10 tahun terakhir ini ada kemajuan apa? Keputusan mrp sudah bener bela hak2 oap, trus kam malah bela hak pendatang?"
yansen_iek_,Jgn cari makan baru jual harga diri
yansen_iek_,🤣🤣
thienasamber,INTINYA BUKAN ORANG ASLI PAPUA.
raigen_kambuaya21,Km bicara omong kosong Apa ini.?
nenemoyang_underback,Seperti nya aku di panggil
bung_isir,Suku lain setengah mati bawa provinsi ni jadi bru suku lain tinggal mo dtng menikmati saja  dasar menikmat eh 😔
kdemianus,"Tahu diri lah...jgn paksa kehendak, malu sedikit k..."
_fdlizzhy,😁
_andy_rusto,"SEMAKIN KE SINI SA SEMAKIN YAKIN CUMA ORANG"" YANG BERTERIAK DAN MEMPERJUANGKAN PAPUA MERDEKA SAJA YANG OTAKNYA ITU WARAS."
korwaronald27,Hormat komandan  TNPB EGIANUS KOGOYA🇨🇺🇨🇺🇨🇺🇨🇺🇨🇺🇨🇺
ly_margareth,No komen 😏
mnuseferh,🤣🤣🤣🤣 org yg punya tanah tertwa kamu 🤣🤣🤣
tirsarahelanace,"Yang sabar yha😢😢 bagemana mau ada suara klo 2 colon orang pendatang ,  jadii yg saya mau sampekan klo mau calonkan diri di atas tanah papua itu klo bisa ketua atau wakil salah satunya itu orang papua yha entah itu harus orang gunung atau orang pante yha intinya harus orang PAPUA JANGAN DUA_DUANYA PENDATANG YA 😁😢😢😢😭😭"
kharissalle,Org moi yg cocok pimpin kota sorong 🔥🔥🔥
___snrro._,Fix keputusan MRP Tdk bisa diganggu gugat 🔥🔥🔥
christynemayor04,Weh orang tertawa kam 🤣🤣🤣
yudha_twelve,Kami akan membuat................................
forlan_12,"Kam tau sampah di makbon to,pas macam kamu tu"
brownnn_faceeebabyyy,Provinsi ini akut punya kam demo juga tetap akut stel satu kota sorong
_goldabs,Kenapa tidak beli piring resa-resa baru banting akan sekalian😂 300 ee👻
clevery23,"Mace de bicara tapi Z yg merinding dan malu ehh, 🤣"
anno_rusto88,Terkutuk Memg... Tra tahu MALU
charlypihahei97,😂😂😂😂
charlypihahei97,"Luar Biasa, Ini Baru Namanya MRP, Salut Untuk MRPBD, Yg berteriak kerurunan OAP itu suru dia baca Ulang Undang² Otsus itu baik, Stop jual beli hak kesulungan OAP, MRPBD terbaik🔥🔥"
ah80379,R4 juga bagian dari Provinsi baru PBD jadi. Ketahuan kalo lawan politik so takut duluan masalahnya modal kuat ini. Jd mrka pakai alasan MRP untuk menjatuhkn 😂. Maybrat trbagi 2 tdk ad yg bisa blok AFU juaranya bisa menang mutlak
maghapigai,Bikin maluuu skalii🤣🤣🤣
raweyai87,"Aro,,beliau hati² copas perkataan, mau di bawa kemana juga, adat akan berdiri pada kebenaran."
marvelchllaus,Sa geli oohhh kotor eee
keroool,Sehhh stop ribut sudah sa heran liat kamu saja 😢
charles_burdam,"Ibu pulang, baru blg bapak de terima kenyataan sj sdh . itu jalan TUHAN !!! 🤭😅"
erickthenu26,"Kalau OAP NATURALISASI itu mundur saja, Kasih Kesempatan untuk OAP Asli yg pu Daerah"
newsatrya,Kam tra cape kah
fire878snow,"Banting2 piring d org pu tanah tw malu tw adat ka tdk, stop bikn diri kras sda ini org Papua pu tanah"
jequalineee,Kalau butuh rekomendasi su pasti bukan OAP jadi trausah demo ” bikin macet sja😭
jajan_murajang,Haha eee baku tipu sja 😂
billex13,🤣🤣🤣
nabila_rumbrk,🤣🤣🤣🤣
mr.rkoropasi,Weh msh berlanjut jg kah?
julevinantoh,Orang yg punya pabrik piring Lihat baru jangan kasi dong beli ka 🤣 semngat apa sjaa yg kasi pica piring ni
nabila_rumbrk,@__dnielz  Banting piring makan tu suda tong anak kos jg bisa beli piring itu kembali 🤣😭
langit4876,"Mace ludia ka spaa itu yg bicara di samping spiker itu, ko juga omong kosong baru, truss pace isak yg banting piring itu ko juga omong kosong, su dpt uang di amplop. Kam dua buka biji mata itu baru lihat kam dua pu kabupaten ada trabgs itu 😂😂, jgn bikmal ka"
enjelljheje,Stopp BKIN mopp sdha KK ibu ??😁😁 Kam tra malu kah
adlifimbay_08,R
silpin_manisssssss,Mace nih deh puh honor beda lagi 😭🤣🙌
om_joni02,Bapatua yg di video terakhir ni dalam muka persis anjin pu panlob iyo😭😂😂😂 engkau bkin aksi apaang kh? 😩
meylyna_hendriks,"Kasian, piring tidak salah😭🤣"
11.dumpyss,iyo e dng pu piring tu e 🤣
mrmdn11_,Bikin rugi 🤣🤣
andy_wambrauw,😅
jejei_warweyktmgglaganda,Banting piring bagus tpi Pace ko ingat ini tanah Moi🤣🙌
maxianmatatula,Kita selaku manusia hanya bisa berencana tetapi Tuhan yang menentukan.
elsyflores82,Booo kam omong ini karna tidak merasakan tanpa listrik itu bagaimana. Kasihan tenaga pendidik yg mengabdi apa2 harus online tapi listrik saja susah cuma bertahan dengan solar sel malam lagi gelap gulita karna terbatas pemakaian.
abcdella__4,Orng ini dong tdk tau malu sx
joedywnn,"Sa amber tapi liat dong2 ini sa bale tertawa k.. manusia2 lucu,tratau malu.. gara2 haus kekuasaan,afu gerakkan massa untuk adu domba orang papua.. ko calon kepala daerah tahun 2017 di maluku utara,dong bilang ko anak adat putra daaerah maluku utara asli.. sekarang ko mati jabatan di pilgub PBD,ko arahkan massa untuk paksa kasih percaya orang kalau ko orang papua 😭 ko  macam Bunglon saja afu e 😭😭🤣🤣"
luther_0313,Bah kasihan piring tu de Tdk salah ka 😭🤣🤣🤣
pinang_kapur_sirih,Setidaknya sebelum banting Piring itu Hafal teks ka sayang. Kasihan tong nntn tp bingung sama deng kam pu aksi yg macam deng kerakusan bokarrr itu.
blackpapua_islandboy,"Maybrat, Tambrauw, Sorsel dan Suku Moy kam lagi demo dorang ✊🔥GASS JGN TUNGGU LAMA LAGI"
blackpapua_islandboy,"Calon Gubernur dan Wakil Gubernur selain Afu k Arus k itu mereka asli OAP dan memiliki asal usul yang jelas,keturunan, kampung, dan dusun yg jelas, lah lalu anda (AFU) ???? Kampung, dusun dan asal  usul tra jelas baru mau menggotot untuk menjadi pemimpin di negri orang😂😂😂😂😂😂Sadar kah dirimu"
rio8585_,Bahhh...bisa banting piring di tanah adat Moi bgmna tu😂😂awas moi jg pya
tikanursantika7,"Asli org r4 itu byk yg blesteran, jdi masi oap too"
robereuto8,Tapi memang benar di Papua karma paling cepat berlaku
chriesdelfian13,ARUS💯
iaan0404,kk de sakit hati kmarin tra jdi anggota mrp kapa😂
najwan_201825,Ana2 jalbar...sio ahk afu su bayar berapa e...
alex.th3s1a,"Dia pny tanah ada dimn?,dan dia pnya suku marga keret yg sama dng dia pny marga ada di daerah mana?"
sauyairinalfa,"Aii ne, kabupaten saja de tra bgun apa2 de cuma rubah peninggalan2 mantan bupati Wanma, bru mo provinsi yg nnt dana masuk besar ni,! Lbih baik kam stop sebelum kam sapu muka kya tong di rj 4 . Yoksna kaku na mkokans ro negeri ine"
ameliadevitaaa,@hamdanaa_ slide ke 4 mcm kenal ka e 😂
irsangepabos,Yg BUAT piring BE LIKE
_imsorryjesus_,sudah terbukti di raja ampat.trada yg beres kacau semua bos😂😂
stenystevenworang,Jadi Bupati Bangun R4? Bangun diri sendiri boleh🤣🤣🤣
kukuhpratama900110,"WTC 10th yg lalu lebih bagus, sekarang gak ke urus😢 emang ga beres 😢"
wahyu_eko1919,"SDH terkenal itu di Raja Ampat,,bisa MEMBANGUN khususnya buat kemakmuran keluarganya besarnya sendiri siapa yg tidak tau saudaranya semua pemegang proyek besar disana selama DIA memimpin🔥🔥🔥, pasti teamnya sudah menyiapkan Amplop besar biar bisa melaju ,,hmmmm,,trus kalau SDH di kasih amplop trus bisa mensejahterakan kita gitu kah,,yg mana pasti akan mencari pengembalian sebesar apa yg SDH dikeluarkan setelah menjabat nanti,,PERCAYALAH🥱🥱🥱🙂‍↔️😏😏🔥🔥"
abdur.3443,Yang tinggal hidup di raja Ampat pasti paham🤪😂😂😂😂😂😂
cr_bapa7,Debat kemarin Pertanyaan apa ❓ jawaban apa miris sih🤦🏾‍♂️🤦🏾‍♂️
seraijiee,Tuhar kamu Admin su dapa bayar 🤑💸💸💸💸💸
mario_gg_talete,Bole spil prestasi atau beberapa pembangunan yg sudah di bangun selama jadi bupati?
onedrejitmau_028,"Terbukti di Debat Kemarin sja sdh tdk Berbobot bru, media stop sentimentris sdh 🤣"
gust.i6260,"Maaf tpi ini jujur pengalaman sy waktu ke R4, yg saya lihat dan bisa saya bandingkan - R4 itu tdk lebih baik dari Distrik Maladum Mes (Tampa garam - Saoka)"
iman_rajack,Ini cerita mop ka 🤣🤣🤣
muh.zainalnarahawarin92,"Media kabar kok berpihak, agak lain memang ko 🤦🤣"
mnuseferh,Kami sbg org raja ampat nyimak sj 🤣
earanoda39,OAP 😂
muh.zainalnarahawarin92,"@guntar bos ko pu kabar, klo mau menggunakan media, gunakan dgn sebaik""nya, bukan dgn cara ko kasih masuk berita salah satu pihak saja, bisa kah bermedia sosial yg baik, apalagi ini akun berita untk semua penggunakan medsos, khususnya wilayah Papua Barat daya, jdi tlg ne kwn, pikir baik baik dlm menggunakan media sosial"
chriesdelfian13,Kitong 1(satu) ARUS🙌❤️
kara_syatfle,Debat kemarin tra berbobot baru 😂
sitirahmaalting,Sangat berpengalaman 👏😂
risaldisumah,Taman deo lbih bagus dri WTC 😂😁
___marselinahu,Main pecek sana😂😂😂
andireanto,Raja ampat gagal total😢
kadwor____smurem,🤣🤣🤣
angel_pakage,"Bintuni dgn raja Ampat 11,12 😂"
iscstmrng,😂😂😂 @ariyadi_tihurua96  @ardalfn  @julanashari
sarhoka_milla,"Bae"" o Jang sampe terpilih baru gubernur Deng wagub baku bombe lagi,pengalaman 2 wakil bupati di raja Ampat baku bombe trus Deng bupatinya 🤣"
haumahuwindy,Admin ini dari raja ampat kapa...amplop pica tiap saat kalau posting arus👏👏
tekam_yahma,🤣🤣🤣🤣🤣🤣🔥🤣🤣🤣🤣🤣🤣🤣
